,ACCOUNT,SITE_ADDR_1_2019,SITE_ADDR_3_2019
244,101500300022,2719 KIPLING ST C,77098
245,101500300023,2719 KIPLING ST E,77098
246,101650000007,1015 MARCONI ST,77019
247,101650000008,1025 MARCONI ST,77019
248,101650000009,1105 MARCONI ST B,77019
249,101650000012,1115 MARCONI ST,77019
250,101650000013,1207 MARCONI ST,77019
251,101650000016,1219 MARCONI ST,77019
252,101650000025,1206 MONTROSE BLVD,77019
253,101650000029,1205 MARCONI ST,77019
254,101650000030,1209 MARCONI ST,77019
255,101650000031,1113 MARCONI ST,77019
256,101650000032,1117 MARCONI ST,77019
257,101650000033,1105 MARCONI ST C,77019
258,101650000034,1105 MARCONI ST A,77019
259,101650000036,1023 MARCONI ST,77019
260,101650000037,1021 MARCONI ST,77019
261,101650000038,1017 MARCONI ST,77019
262,101650000039,1019 MARCONI ST,77019
263,101650000040,1107 MARCONI ST C,77019
264,101650000041,1107 MARCONI ST A,77019
265,101650000042,1107 MARCONI ST B,77019
266,101650000043,1215 MARCONI ST C,77019
267,101650000044,1215 MARCONI ST B,77019
268,101650000045,1215 MARCONI ST A,77019
269,101660000005,1004 COLUMBUS ST,77019
270,101660000018,1014 COLUMBUS ST,77019
271,101660000029,1020 COLUMBUS ST,77019
272,101660000033,1002 COLUMBUS ST,77019
273,101660000034,1000 COLUMBUS ST,77019
274,101660000035,1000 COLUMBUS ST,77019
275,101660000036,1000 COLUMBUS ST,77019
276,101660000037,1018 COLUMBUS ST,77019
277,101660000038,1104 COLUMBUS ST,77019
278,101660000039,1106 COLUMBUS ST,77019
279,101660000040,1108 COLUMBUS ST,77019
280,101660000042,1006 COLUMBUS ST,77019
281,101660000043,1008 COLUMBUS ST,77019
282,101660000044,1012 COLUMBUS ST,77019
283,101660000046,1204 COLUMBUS ST,77019
284,101660000047,1010 COLUMBUS ST,77019
285,101660000048,1002 COLUMBUS ST,77019
286,101660000049,1004 COLUMBUS ST,77019
287,101660000050,1200 COLUMBUS ST,77019
288,101660000051,1202 COLUMBUS ST,77019
289,101660000052,1126 COLUMBUS ST,77019
290,101660000053,1124 COLUMBUS ST,77019
291,101660000054,1122 COLUMBUS ST,77019
292,101660010001,1210 COLUMBUS ST,77019
293,101660010002,1212 COLUMBUS ST,77019
294,101680000004,1001 W CLAY ST,77019
295,102420000622,5927 KAIM ST,77006
296,102490000001,2 COURTLANDT PL,77006
297,102490000002,4 COURTLANDT PL,77006
298,102490000003,6 COURTLANDT PL,77006
299,102490000004,8 COURTLANDT PL,77006
300,102490000006,10 COURTLANDT PL,77006
301,102490000007,14 COURTLANDT PL,77006
302,102490000009,16 COURTLANDT PL,77006
303,102490000010,18 COURTLANDT PL,77006
304,102490000011,20 COURTLANDT PL,77006
305,102490000012,22 COURTLANDT PL,77006
306,102490000013,24 COURTLANDT PL,77006
307,102490000014,25 COURTLANDT PL,77006
308,102490000015,19 COURTLANDT PL,77006
309,102490000016,17 COURTLANDT PL,77006
310,102490000018,15 COURTLANDT PL,77006
311,102490000019,13 COURTLANDT PL,77006
312,102490000020,11 COURTLANDT PL,77006
313,102490000022,9 COURTLANDT PL,77006
314,102490000023,3 COURTLANDT PL,77006
315,102490000024,5 COURTLANDT PL,77006
316,102490000028,1 COURTLANDT PL,77006
317,102550020006,3002 EASTSIDE ST,77098
