,address,zip_code
270,1201 BERTHEA ST,77006
271,1201 BOMAR ST,77006
272,1201 BONNIE BRAE ST,77006
273,1201 HAROLD ST,77006
274,1201 HYDE PARK BLVD,77006
275,1201 MISSOURI ST,77006
276,1201 W DREW AVE,77006
277,1201 WELCH ST,77006
278,1201 WILLARD ST,77006
279,1202 BANKS ST,77006
280,1202 BOMAR ST,77006
281,1202 CALIFORNIA ST,77006
282,1202 MILFORD ST,77006
283,1202 WELCH ST,77006
284,1202 WILLARD ST,77006
285,1203 BERTHEA ST,77006
286,1203 BOMAR ST,77006
287,1203 BONNIE BRAE ST,77006
288,1203 HAROLD ST,77006
289,1203 HYDE PARK BLVD,77006
290,1203 JACKSON BLVD,77006
291,1203 WILLARD ST,77006
292,1204 BOMAR ST,77006
293,1204 BONNIE BRAE AVE,77006
294,1204 JACKSON BLVD,77006
295,1204 W DREW ST,77006
296,1204 WILLARD ST,77006
297,1205 BARKDULL ST,77006
298,1205 BERTHEA ST,77006
299,1205 BOMAR ST,77006
300,1205 BONNIE BRAE ST,77006
301,1205 HAROLD ST,77006
302,1205 HYDE PARK BLVD,77006
303,1205 JACKSON BLVD A,77006
304,1205 JACKSON BLVD B,77006
305,1205 JACKSON BLVD C,77006
306,1205 JACKSON BLVD D,77006
307,1205 JACKSON BLVD E,77006
308,1205 MILFORD ST,77006
309,1205 MISSOURI ST A,77006
310,1205 MISSOURI ST B,77006
311,1205 MISSOURI ST C,77006
312,1205 PEDEN ST,77006
313,1205 W DREW AVE,77006
314,1205 WELCH ST,77006
315,1205 WILLARD ST,77006
316,1206 BOMAR ST,77006
317,1206 BONNIE BRAE AVE,77006
318,1206 CALIFORNIA ST,77006
319,1206 HYDE PARK BLVD,77006
320,1206 JACKSON BLVD A,77006
321,1206 JACKSON BLVD B,77006
322,1206 JACKSON BLVD C,77006
323,1206 MISSOURI ST,77006
324,1206 W DREW ST,77006
325,1206 WELCH ST,77006
326,1206 WILLARD ST,77006
327,1207 BERTHEA ST,77006
328,1207 BOMAR ST,77006
329,1207 BONNIE BRAE ST,77006
330,1207 HAROLD ST,77006
331,1207 HAWTHORNE ST,77006
332,1207 HYDE PARK BLVD,77006
333,1207 MIRAMAR ST,77006
334,1207 MISSOURI ST A,77006
335,1207 MISSOURI ST B,77006
336,1207 MISSOURI ST C,77006
337,1207 PEDEN ST,77006
338,1207 W DREW ST,77006
339,1207 WELCH ST,77006
340,1207 WILLARD ST,77006
341,1208 BERTHEA ST,77006
342,1208 BOMAR ST,77006
343,1208 BONNIE BRAE AVE,77006
344,1208 JACKSON BLVD,77006
345,1208 W DREW ST,77006
346,1208 WELCH ST,77006
347,1208 WILLARD ST,77006
348,1209 BERTHEA ST,77006
349,1209 BOMAR ST,77006
350,1209 HAROLD ST,77006
351,1209 HYDE PARK BLVD,77006
352,1209 MILFORD ST,77006
353,1209 MIRAMAR ST,77006
354,1209 W DREW ST,77006
355,1209 WELCH ST A,77006
356,1209 WELCH ST B,77006
357,1209 WILLARD ST,77006
358,121 DENNIS ST,77006
359,121 WILLARD ST,77006
360,1210 BERTHEA ST,77006
361,1210 BOMAR ST,77006
362,1210 BONNIE BRAE ST,77006
